"Time (s)","Amplitude (a.u.)"
0.000000000E0,0.000000000E0
2.092050209E-5,4.493359904E-2
4.184100418E-5,1.072045738E-1
6.276150628E-5,1.772879194E-1
8.368200837E-5,2.511548506E-1
1.046025105E-4,3.255390584E-1
1.255230126E-4,3.973584683E-1
1.464435146E-4,4.635764143E-1
1.673640167E-4,5.211949734E-1
1.882845188E-4,5.673075839E-1
2.092050209E-4,5.991857057E-1
2.301255230E-4,6.143874664E-1
2.510460251E-4,6.108801837E-1
2.719665272E-4,5.871695318E-1
2.928870293E-4,5.424278562E-1
3.138075314E-4,4.766134806E-1
3.347280335E-4,3.905721652E-1
3.556485356E-4,2.861114072E-1
3.765690377E-4,1.660381776E-1
3.974895397E-4,3.415114430E-2
4.184100418E-4,-1.048204695E-1
4.393305439E-4,-2.453373825E-1
4.602510460E-4,-3.812334394E-1
4.811715481E-4,-5.059613520E-1
5.020920502E-4,-6.128966785E-1
5.230125523E-4,-6.956909436E-1
5.439330544E-4,-7.486596852E-1
5.648535565E-4,-7.671860613E-1
5.857740586E-4,-7.481158871E-1
6.066945607E-4,-6.901160540E-1
6.276150628E-4,-5.939657397E-1
6.485355649E-4,-4.627491575E-1
6.694560669E-4,-3.019203077E-1
6.903765690E-4,-1.192146460E-1
7.112970711E-4,7.560998884E-2
7.322175732E-4,2.712104712E-1
7.531380753E-4,4.552677314E-1
7.740585774E-4,6.152474542E-1
7.949790795E-4,7.392750074E-1
8.158995816E-4,8.170714102E-1
8.368200837E-4,8.408828138E-1
8.577405858E-4,8.063250967E-1
8.786610879E-4,7.130595638E-1
8.995815900E-4,5.652170183E-1
9.205020921E-4,3.714969420E-1
9.414225941E-4,1.448868721E-1
9.623430962E-4,-9.802580150E-2
9.832635983E-4,-3.381425503E-1
1.004184100E-3,-5.552955027E-1
1.025104603E-3,-7.299522584E-1
1.046025105E-3,-8.450529969E-1
1.066945607E-3,-8.878153572E-1
1.087866109E-3,-8.513207651E-1
1.108786611E-3,-7.356908706E-1
1.129707113E-3,-5.486783007E-1
1.150627615E-3,-3.055340671E-1
1.171548117E-3,-2.807436124E-2
1.192468619E-3,2.570510699E-1
1.213389121E-3,5.207945172E-1
1.234309623E-3,7.346595254E-1
1.255230126E-3,8.738853344E-1
1.276150628E-3,9.205206304E-1
1.297071130E-3,8.660061527E-1
